record_type,year,decade,era,five_year_plan,is_election_year,economic_event,flow,commodity,partner_country,country_code,region,trade_bloc,segment_value_usd_m,segment_share_pct,exports_usd_million,imports_usd_million,trade_balance_usd_million,exports_merchandise_usd_m,imports_merchandise_usd_m,exports_services_usd_m,imports_services_usd_m,gdp_usd_billion,trade_openness_pct,export_growth_yoy_pct,import_growth_yoy_pct,data_source
Annual_Summary,1964,1960s,Early Independence,Plan 3,0,,,,,,,,,,1751,2813,-1062,1435.82,2644.22,315.18,168.78,49.4,9.24,7.16,10.27,WorldBank
Annual_Summary,1965,1960s,Early Independence,Plan 3,0,,,,,,,,,,1685,3005,-1320,1381.7,2824.7,303.3,180.3,49.5,9.47,-3.77,6.83,WorldBank
Annual_Summary,1966,1960s,Green Revolution,Plan 4,0,Rupee Devaluation,,,,,,,,,1656,2749,-1093,1357.92,2584.06,298.08,164.94,45.4,9.7,-1.72,-8.52,WorldBank
Annual_Summary,1967,1960s,Green Revolution,Plan 4,1,,,,,,,,,,1599,2759,-1160,1311.18,2593.46,287.82,165.54,51.3,8.5,-3.44,0.36,WorldBank
Annual_Summary,1968,1960s,Green Revolution,Plan 4,0,Green Revolution Peak,,,,,,,,,1698,2411,-713,1392.36,2266.34,305.64,144.66,53.7,7.65,6.19,-12.61,WorldBank
Annual_Summary,1969,1960s,Green Revolution,Plan 4,0,,,,,,,,,,1837,2350,-513,1506.34,2209.0,330.66,141.0,57.8,7.24,8.19,-2.53,WorldBank
Annual_Summary,1970,1970s,Green Revolution,Plan 4,0,,,,,,,,,,2026,2162,-136,1661.32,2032.28,364.68,129.72,63.5,6.6,10.29,-8.0,WorldBank
Annual_Summary,1971,1970s,Green Revolution,Plan 5,1,,,,,,,,,,2072,2456,-384,1699.04,2308.64,372.96,147.36,67.4,6.72,2.27,13.6,WorldBank
Annual_Summary,1972,1970s,Green Revolution,Plan 5,0,,,,,,,,,,2395,2369,26,1963.9,2226.86,431.1,142.14,72.3,6.59,15.59,-3.54,WorldBank
Annual_Summary,1973,1970s,Green Revolution,Plan 5,0,First Oil Crisis,,,,,,,,,2900,3000,-100,2378.0,2820.0,522.0,180.0,87.1,6.77,21.09,26.64,WorldBank
Annual_Summary,1974,1970s,Green Revolution,Plan 5,0,,,,,,,,,,3884,5002,-1118,3184.88,4701.88,699.12,300.12,101.3,8.77,33.93,66.73,WorldBank
Annual_Summary,1975,1970s,Green Revolution,Plan 5,0,,,,,,,,,,4588,5977,-1389,3762.16,5618.38,825.84,358.62,102.7,10.29,18.13,19.49,WorldBank
Annual_Summary,1976,1970s,Green Revolution,Plan 6,0,,,,,,,,,,5350,5400,-50,4387.0,5076.0,963.0,324.0,108.7,9.89,16.61,-9.65,WorldBank
Annual_Summary,1977,1970s,Green Revolution,Plan 6,1,,,,,,,,,,5680,6040,-360,4657.6,5677.6,1022.4,362.4,126.9,9.24,6.17,11.85,WorldBank
Annual_Summary,1978,1970s,Green Revolution,Plan 6,0,,,,,,,,,,5888,7249,-1361,4828.16,6814.06,1059.84,434.94,141.2,9.3,3.66,20.02,WorldBank
Annual_Summary,1979,1970s,Green Revolution,Plan 6,0,Second Oil Crisis,,,,,,,,,6547,8936,-2389,5368.54,8399.84,1178.46,536.16,156.9,9.87,11.19,23.27,WorldBank
Annual_Summary,1980,1980s,Pre-Liberalisation,Plan 6,1,,,,,,,,,,8486,15869,-7383,6958.52,14916.86,1527.48,952.14,186.3,13.07,29.62,77.59,WorldBank
Annual_Summary,1981,1980s,Pre-Liberalisation,Plan 7,0,,,,,,,,,,8030,15568,-7538,6584.6,14633.92,1445.4,934.08,197.4,11.95,-5.37,-1.9,WorldBank
Annual_Summary,1982,1980s,Pre-Liberalisation,Plan 7,0,,,,,,,,,,8067,14460,-6393,6614.94,13592.4,1452.06,867.6,204.2,11.03,0.46,-7.12,WorldBank
Annual_Summary,1983,1980s,Pre-Liberalisation,Plan 7,0,,,,,,,,,,8558,13945,-5387,7017.56,13108.3,1540.44,836.7,222.1,10.13,6.09,-3.56,WorldBank
Annual_Summary,1984,1980s,Pre-Liberalisation,Plan 7,1,,,,,,,,,,8986,13737,-4751,7368.52,12912.78,1617.48,824.22,213.8,10.63,5.0,-1.49,WorldBank
Annual_Summary,1985,1980s,Pre-Liberalisation,Plan 7,0,,,,,,,,,,9163,15612,-6449,7513.66,14675.28,1649.34,936.72,233.0,10.63,1.97,13.65,WorldBank
Annual_Summary,1986,1980s,Pre-Liberalisation,Plan 8,0,,,,,,,,,,10006,16161,-6155,8204.92,15191.34,1801.08,969.66,256.1,10.22,9.2,3.52,WorldBank
Annual_Summary,1987,1980s,Pre-Liberalisation,Plan 8,0,,,,,,,,,,11900,17500,-5600,9758.0,16450.0,2142.0,1050.0,291.2,10.1,18.93,8.29,WorldBank
Annual_Summary,1988,1980s,Pre-Liberalisation,Plan 8,0,,,,,,,,,,13600,20500,-6900,11152.0,19270.0,2448.0,1230.0,300.1,11.36,14.29,17.14,WorldBank
Annual_Summary,1989,1980s,Pre-Liberalisation,Plan 8,1,,,,,,,,,,16000,22000,-6000,13120.0,20680.0,2880.0,1320.0,310.5,12.24,17.65,7.32,WorldBank
Annual_Summary,1990,1990s,Pre-Liberalisation,Plan 8,0,,,,,,,,,,18143,24073,-5930,14877.26,22628.62,3265.74,1444.38,326.6,12.93,13.39,9.42,WorldBank
Annual_Summary,1991,1990s,Liberalisation Era,Plan 9,1,BOP Crisis & Liberalisation,,,,,,,,,18266,21082,-2816,14978.12,19817.08,3287.88,1264.92,274.8,14.32,0.68,-12.42,WorldBank
Annual_Summary,1992,1990s,Liberalisation Era,Plan 9,0,,,,,,,,,,20080,23488,-3408,16465.6,22078.72,3614.4,1409.28,293.3,14.85,9.93,11.41,WorldBank
Annual_Summary,1993,1990s,Liberalisation Era,Plan 9,0,,,,,,,,,,22238,23306,-1068,18235.16,21907.64,4002.84,1398.36,284.2,16.03,10.75,-0.77,WorldBank
Annual_Summary,1994,1990s,Liberalisation Era,Plan 9,0,,,,,,,,,,26330,28654,-2324,21590.6,26934.76,4739.4,1719.24,333.0,16.51,18.4,22.95,WorldBank
Annual_Summary,1995,1990s,Liberalisation Era,Plan 9,0,,,,,,,,,,31795,36678,-4883,26071.9,34477.32,5723.1,2200.68,366.6,18.68,20.76,28.0,WorldBank
Annual_Summary,1996,1990s,Liberalisation Era,Plan 10,1,,,,,,,,,,34133,39236,-5103,27989.06,36881.84,6143.94,2354.16,399.8,18.35,7.35,6.97,WorldBank
Annual_Summary,1997,1990s,Liberalisation Era,Plan 10,0,Asian Financial Crisis,,,,,,,,,36993,41484,-4491,30334.26,38994.96,6658.74,2489.04,423.2,18.54,8.38,5.73,WorldBank
Annual_Summary,1998,1990s,Liberalisation Era,Plan 10,1,,,,,,,,,,34298,42388,-8090,28124.36,39844.72,6173.64,2543.28,428.8,17.88,-7.29,2.18,WorldBank
Annual_Summary,1999,1990s,Liberalisation Era,Plan 10,1,,,,,,,,,,38336,49671,-11335,31435.52,46690.74,6900.48,2980.26,466.9,18.85,11.77,17.18,WorldBank
Annual_Summary,2000,2000s,High Growth Era,Plan 10,0,,,,,,,,,,62870,67650,-4780,44009.0,59532.0,18861.0,8118.0,476.7,27.38,64.0,36.2,WorldBank
Annual_Summary,2001,2000s,High Growth Era,Plan 11,0,,,,,,,,,,63750,65990,-2240,44625.0,58071.2,19125.0,7918.8,493.9,26.27,1.4,-2.45,WorldBank
Annual_Summary,2002,2000s,High Growth Era,Plan 11,0,,,,,,,,,,71600,74000,-2400,50120.0,65120.0,21480.0,8880.0,524.0,27.79,12.31,12.14,WorldBank
Annual_Summary,2003,2000s,High Growth Era,Plan 11,0,,,,,,,,,,90200,89300,900,63140.0,78584.0,27060.0,10716.0,618.4,29.03,25.98,20.68,WorldBank
Annual_Summary,2004,2000s,High Growth Era,Plan 11,1,,,,,,,,,,119200,129300,-10100,83440.0,113784.0,35760.0,15516.0,721.6,34.44,32.15,44.79,WorldBank
Annual_Summary,2005,2000s,High Growth Era,Plan 11,0,,,,,,,,,,149900,175700,-25800,104930.0,154616.0,44970.0,21084.0,834.2,39.03,25.76,35.89,WorldBank
Annual_Summary,2006,2000s,High Growth Era,Plan 12,0,,,,,,,,,,194400,218000,-23600,136080.0,191840.0,58320.0,26160.0,949.1,43.45,29.69,24.08,WorldBank
Annual_Summary,2007,2000s,High Growth Era,Plan 12,0,,,,,,,,,,249800,267000,-17200,174860.0,234960.0,74940.0,32040.0,1238.7,41.72,28.5,22.48,WorldBank
Annual_Summary,2008,2000s,High Growth Era,Plan 12,0,Global Financial Crisis,,,,,,,,,307000,374400,-67400,214900.0,329472.0,92100.0,44928.0,1224.1,55.67,22.9,40.22,WorldBank
Annual_Summary,2009,2000s,High Growth Era,Plan 12,1,,,,,,,,,,264100,300600,-36500,184870.0,264528.0,79230.0,36072.0,1365.4,41.36,-13.97,-19.71,WorldBank
Annual_Summary,2010,2010s,High Growth Era,Plan 12,0,,,,,,,,,,376300,383500,-7200,263410.0,337480.0,112890.0,46020.0,1708.5,44.47,42.48,27.58,WorldBank
Annual_Summary,2011,2010s,High Growth Era,Plan 13,0,,,,,,,,,,471900,499400,-27500,330330.0,439472.0,141570.0,59928.0,1823.0,53.28,25.41,30.22,WorldBank
Annual_Summary,2012,2010s,High Growth Era,Plan 13,0,,,,,,,,,,466400,489300,-22900,326480.0,430584.0,139920.0,58716.0,1827.6,52.29,-1.17,-2.02,WorldBank
Annual_Summary,2013,2010s,High Growth Era,Plan 13,0,,,,,,,,,,466200,467000,-800,326340.0,410960.0,139860.0,56040.0,1856.7,50.26,-0.04,-4.56,WorldBank
Annual_Summary,2014,2010s,Digital India Era,Plan 13,1,,,,,,,,,,478000,462000,16000,334600.0,406560.0,143400.0,55440.0,2039.1,46.1,2.53,-1.07,WorldBank
Annual_Summary,2015,2010s,Digital India Era,Plan 13,0,,,,,,,,,,426000,392000,34000,298200.0,344960.0,127800.0,47040.0,2103.6,38.89,-10.88,-15.15,WorldBank
Annual_Summary,2016,2010s,Digital India Era,Plan 13,0,Demonetisation,,,,,,,,,401700,383800,17900,281190.0,337744.0,120510.0,46056.0,2294.8,34.23,-5.7,-2.09,WorldBank
Annual_Summary,2017,2010s,Digital India Era,Plan 13,0,GST Implementation,,,,,,,,,483800,477700,6100,338660.0,420376.0,145140.0,57324.0,2651.5,36.26,20.44,24.47,WorldBank
Annual_Summary,2018,2010s,Digital India Era,Plan 13,0,,,,,,,,,,535000,617000,-82000,374500.0,542960.0,160500.0,74040.0,2713.2,42.46,10.58,29.16,WorldBank
Annual_Summary,2019,2010s,Digital India Era,Plan 13,1,,,,,,,,,,528500,590000,-61500,369950.0,519200.0,158550.0,70800.0,2869.0,38.99,-1.21,-4.38,WorldBank
Annual_Summary,2020,2020s,Digital India Era,Plan 13,0,COVID-19 Pandemic,,,,,,,,,499700,510200,-10500,349790.0,448976.0,149910.0,61224.0,2671.6,37.8,-5.45,-13.53,WorldBank
Annual_Summary,2021,2020s,Digital India Era,Plan 13,0,,,,,,,,,,677800,760900,-83100,474460.0,669592.0,203340.0,91308.0,3150.3,45.67,35.64,49.14,WorldBank
Annual_Summary,2022,2020s,Digital India Era,Plan 13,0,Russia-Ukraine War Impact,,,,,,,,,778000,897600,-119600,544600.0,789888.0,233400.0,107712.0,3468.6,48.31,14.78,17.97,WorldBank
Annual_Summary,2023,2020s,Digital India Era,Plan 13,0,,,,,,,,,,776400,898000,-121600,543480.0,790240.0,232920.0,107760.0,3737.9,44.8,-0.21,0.04,MoC_India
Annual_Summary,2024,2020s,Digital India Era,Plan 13,1,,,,,,,,,,778200,878500,-100300,544740.0,773080.0,233460.0,105420.0,3940.0,42.05,0.23,-2.17,MoC_India
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Engineering Goods,,,,,8801.8,14.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Petroleum Products,,,,,1257.4,2.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Gems & Jewellery,,,,,10687.9,17.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Chemicals & Pharma,,,,,5658.3,9.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Textiles & Apparel,,,,,12574.0,20.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Agriculture & Allied,,,,,7544.4,12.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Electronics & IT Goods,,,,,1886.1,3.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Export,Other Merchandise,,,,,14460.1,23.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Crude Oil & Petroleum,,,,,16912.5,25.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Electronics & Machinery,,,,,9471.0,14.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Gold & Precious Metals,,,,,4735.5,7.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Chemicals,,,,,5412.0,8.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Coal & Coke,,,,,1353.0,2.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Edible Oils,,,,,2706.0,4.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Defence & Aerospace,,,,,2029.5,3.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2000,2000s,High Growth Era,Plan 10,0,,Import,Other Merchandise,,,,,25030.5,37.0,62870,67650,,,,,,476.7,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Engineering Goods,,,,,9562.5,15.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Petroleum Products,,,,,1912.5,3.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Gems & Jewellery,,,,,10200.0,16.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Chemicals & Pharma,,,,,5737.5,9.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Textiles & Apparel,,,,,12112.5,19.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Agriculture & Allied,,,,,7650.0,12.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Electronics & IT Goods,,,,,1912.5,3.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Export,Other Merchandise,,,,,14662.5,23.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Crude Oil & Petroleum,,,,,16497.5,25.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Electronics & Machinery,,,,,9238.6,14.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Gold & Precious Metals,,,,,4619.3,7.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Chemicals,,,,,5279.2,8.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Coal & Coke,,,,,1319.8,2.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Edible Oils,,,,,2639.6,4.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Defence & Aerospace,,,,,1979.7,3.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2001,2000s,High Growth Era,Plan 11,0,,Import,Other Merchandise,,,,,24416.3,37.0,63750,65990,,,,,,493.9,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Engineering Goods,,,,,11456.0,16.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Petroleum Products,,,,,2864.0,4.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Gems & Jewellery,,,,,11456.0,16.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Chemicals & Pharma,,,,,7160.0,10.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Textiles & Apparel,,,,,13604.0,19.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Agriculture & Allied,,,,,8592.0,12.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Electronics & IT Goods,,,,,2148.0,3.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Export,Other Merchandise,,,,,14320.0,20.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Crude Oil & Petroleum,,,,,19240.0,26.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Electronics & Machinery,,,,,10360.0,14.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Gold & Precious Metals,,,,,5180.0,7.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Chemicals,,,,,5920.0,8.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Coal & Coke,,,,,1480.0,2.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Edible Oils,,,,,2960.0,4.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Defence & Aerospace,,,,,2220.0,3.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2002,2000s,High Growth Era,Plan 11,0,,Import,Other Merchandise,,,,,26640.0,36.0,71600,74000,,,,,,524.0,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Engineering Goods,,,,,15334.0,17.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Petroleum Products,,,,,4510.0,5.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Gems & Jewellery,,,,,13530.0,15.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Chemicals & Pharma,,,,,9020.0,10.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Textiles & Apparel,,,,,15334.0,17.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Agriculture & Allied,,,,,9922.0,11.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Electronics & IT Goods,,,,,3608.0,4.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Export,Other Merchandise,,,,,18942.0,21.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Crude Oil & Petroleum,,,,,24111.0,27.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Electronics & Machinery,,,,,13395.0,15.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Gold & Precious Metals,,,,,7144.0,8.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Chemicals,,,,,7144.0,8.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Coal & Coke,,,,,2679.0,3.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Edible Oils,,,,,3572.0,4.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Defence & Aerospace,,,,,2679.0,3.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2003,2000s,High Growth Era,Plan 11,0,,Import,Other Merchandise,,,,,28576.0,32.0,90200,89300,,,,,,618.4,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Engineering Goods,,,,,21456.0,18.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Petroleum Products,,,,,8344.0,7.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Gems & Jewellery,,,,,17880.0,15.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Chemicals & Pharma,,,,,11920.0,10.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Textiles & Apparel,,,,,19072.0,16.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Agriculture & Allied,,,,,11920.0,10.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Electronics & IT Goods,,,,,5960.0,5.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Export,Other Merchandise,,,,,22648.0,19.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Crude Oil & Petroleum,,,,,36204.0,28.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Electronics & Machinery,,,,,20688.0,16.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Gold & Precious Metals,,,,,10344.0,8.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Chemicals,,,,,10344.0,8.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Coal & Coke,,,,,3879.0,3.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Edible Oils,,,,,5172.0,4.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Defence & Aerospace,,,,,3879.0,3.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2004,2000s,High Growth Era,Plan 11,1,,Import,Other Merchandise,,,,,38790.0,30.0,119200,129300,,,,,,721.6,,,,
Commodity_Breakdown,2005,2000s,High Growth Era,Plan 11,0,,Export,Engineering Goods,,,,,28481.0,19.0,149900,175700,,,,,,834.2,,,,
